[2026-06-07T00:07:47.691493+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:07:49.014460+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:07:52.277478+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:07:55.475353+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:08:35.357573+00:00] USER=admin | ACTION=MODIFY_USER_RANK:new_1 | STATUS=SUCCESS | DETAILS=User 'new_1' role updated to 'new_4' (id=9).
[2026-06-07T00:09:56.389497+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:00.383919+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:04.381281+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:08.380597+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:12.391403+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:16.384709+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:20.380176+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:24.378172+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:28.385413+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:32.392606+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:36.385855+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:40.385408+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:44.380476+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:48.374467+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:10:51.502512+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:27.079577+00:00] USER=admin | ACTION=USER_LOGIN | STATUS=SUCCESS | DETAILS=Authenticated successfully with role: admin
[2026-06-07T00:12:27.390004+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:30.611181+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:33.790787+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:41.189639+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:44.382127+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:47.558349+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:48.876884+00:00] USER=admin | ACTION=TOGGLE_NAVIGATION:MANUAL | STATUS=SUCCESS | DETAILS=UGV navigation mode overridden to MANUAL.
[2026-06-07T00:12:49.532036+00:00] USER=admin | ACTION=TOGGLE_NAVIGATION:AUTOPILOT | STATUS=SUCCESS | DETAILS=UGV navigation mode overridden to AUTOPILOT.
[2026-06-07T00:12:50.248566+00:00] USER=admin | ACTION=TOGGLE_ENGINE_POWER:OFFLINE | STATUS=SUCCESS | DETAILS=UGV robot power status toggled to OFFLINE.
[2026-06-07T00:12:50.847461+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:51.029385+00:00] USER=admin | ACTION=TOGGLE_ENGINE_POWER:ONLINE | STATUS=SUCCESS | DETAILS=UGV robot power status toggled to ONLINE.
[2026-06-07T00:12:52.178393+00:00] USER=admin | ACTION=TOGGLE_NAVIGATION:MANUAL | STATUS=SUCCESS | DETAILS=UGV navigation mode overridden to MANUAL.
[2026-06-07T00:12:53.101804+00:00] USER=admin | ACTION=TOGGLE_NAVIGATION:AUTOPILOT | STATUS=SUCCESS | DETAILS=UGV navigation mode overridden to AUTOPILOT.
[2026-06-07T00:12:54.076567+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:55.630220+00:00] USER=admin | ACTION=TOGGLE_NAVIGATION:MANUAL | STATUS=SUCCESS | DETAILS=UGV navigation mode overridden to MANUAL.
[2026-06-07T00:12:56.975432+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:UP | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=UP, x=200, y=185
[2026-06-07T00:12:57.273236+00:00] USER=SYSTEM | ACTION=TELEMETRY_STREAM_TERMINATED | STATUS=SUCCESS | DETAILS=Telemetry stream safely disconnected for Anonymous_Node due to simulation stop.
[2026-06-07T00:12:58.944088+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:UP | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=UP, x=200, y=185
[2026-06-07T00:12:59.443036+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:RIGHT | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=RIGHT, x=215, y=200
[2026-06-07T00:12:59.539571+00:00] USER=admin | ACTION=MANUAL_ROBOT_COMMAND:LEFT | STATUS=SUCCESS | DETAILS=Manual joystick control update sent: command=LEFT, x=185, y=200
